날짜,시가,고가,저가,종가,거래량,등락률
2019-02-01,68541,70337,67843,67943,154630,-0.5838283924965614
2019-02-07,68641,68641,65249,65748,234083,-3.2306492206702675
2019-02-08,65648,65748,62555,62655,235811,-4.704325606862566
2019-02-11,62954,63752,62555,63753,113899,1.7524539142925546
2019-02-12,63752,63752,62555,62755,128263,-1.5654165294182236
2019-02-13,63054,63154,62555,62855,104909,0.15934985260138634
2019-02-14,62954,64650,62655,63653,191619,1.2695887359796356
2019-02-15,63353,64850,63054,64651,152472,1.56787582674815
2019-02-18,65548,66546,65349,66247,146523,2.468639309523441
2019-02-19,66646,66945,65049,66147,123454,-0.15095023170860566
2019-02-20,66147,73630,66147,73231,654272,10.709480399715785
2019-02-21,73530,76323,73231,73331,401668,0.13655419153090906
2019-02-22,74029,75725,73729,75027,161965,2.312800861845604
2019-02-25,75525,76024,73829,75825,291709,1.0636170978447759
2019-02-26,74827,75825,74428,74528,152421,-1.7105176393010222
2019-02-27,74129,75226,72432,74528,198434,0.0
2019-02-28,75226,75226,72732,73131,185345,-1.874463288965221
