날짜,시가,고가,저가,종가,거래량,등락률
2019-09-02,43100,43950,42700,43200,22681,0.23201856148491878
2019-09-03,43050,43100,41450,41800,32302,-3.2407407407407405
2019-09-04,41850,44350,41850,43800,69439,4.784688995215311
2019-09-05,44350,44550,43850,44300,38154,1.141552511415525
2019-09-06,44700,44750,43350,43850,20174,-1.0158013544018059
2019-09-09,44000,44050,42050,42550,60362,-2.9646522234891677
2019-09-10,42100,43350,41850,42300,31401,-0.5875440658049353
2019-09-11,42250,42750,41800,42000,29567,-0.7092198581560284
2019-09-16,42400,42400,41500,42000,28392,0.0
2019-09-17,41700,41700,41100,41500,52468,-1.1904761904761905
2019-09-18,41650,43000,41500,42700,55390,2.891566265060241
2019-09-19,42700,43150,42300,42400,26785,-0.702576112412178
2019-09-20,42450,42800,41600,42550,9628,0.3537735849056604
2019-09-23,42750,42750,41950,42650,19699,0.23501762632197415
2019-09-24,42300,42750,42100,42350,23279,-0.7033997655334115
2019-09-25,42400,43950,42300,43550,54419,2.833530106257379
2019-09-26,43800,45000,43450,44900,68858,3.0998851894374284
2019-09-27,44600,45050,43850,44400,36493,-1.1135857461024499
2019-09-30,44100,46100,44100,45400,53796,2.2522522522522523
