날짜,시가,고가,저가,종가,거래량,등락률
2023-06-01,72000,72000,69800,70300,6668,-1.2640449438202246
2023-06-02,70700,71200,70400,71000,2536,0.995732574679943
2023-06-05,71000,71400,70500,71000,4535,0.0
2023-06-07,71600,71600,70400,70700,2965,-0.42253521126760557
2023-06-08,71100,71100,69900,71000,7139,0.4243281471004243
2023-06-09,71300,71300,70300,70900,7274,-0.14084507042253522
2023-06-12,70100,70500,69900,70200,2630,-0.9873060648801129
2023-06-13,70200,70300,69300,69700,7303,-0.7122507122507122
2023-06-14,69800,69800,68700,69600,4607,-0.1434720229555237
2023-06-15,69700,69700,68200,68800,12835,-1.1494252873563218
2023-06-16,69400,69400,68400,68900,4332,0.14534883720930233
2023-06-19,68900,68900,67500,67700,6906,-1.741654571843251
2023-06-20,67400,70500,66900,67700,9951,0.0
2023-06-21,66900,66900,63700,64800,33226,-4.283604135893649
2023-06-22,64600,64800,62200,62200,24088,-4.012345679012346
2023-06-23,62300,62800,60600,61700,16466,-0.8038585209003215
2023-06-26,60900,61700,59900,61000,16618,-1.1345218800648298
2023-06-27,61100,61700,59800,59800,14569,-1.9672131147540985
2023-06-28,61500,61500,60000,60600,7128,1.3377926421404682
2023-06-29,60600,60600,58000,59000,26631,-2.6402640264026402
2023-06-30,59000,59000,57400,58900,15734,-0.1694915254237288
