날짜,시가,고가,저가,종가,거래량,등락률
2022-09-01,37100,37650,36350,36500,33379,-2.53671562082777
2022-09-02,36500,36700,35950,36000,32722,-1.36986301369863
2022-09-05,35650,35850,34850,35000,42487,-2.7777777777777777
2022-09-06,34850,35500,34850,35500,16414,1.4285714285714286
2022-09-07,35700,35700,34850,34950,14051,-1.5492957746478873
2022-09-08,34950,35400,34850,35000,11095,0.14306151645207438
2022-09-13,35450,35700,34850,35600,15469,1.7142857142857144
2022-09-14,34850,35600,34700,35300,13521,-0.8426966292134831
2022-09-15,35300,35800,35150,35350,13156,0.141643059490085
2022-09-16,35350,35350,34600,34750,15401,-1.6973125884016973
2022-09-19,34750,34750,33250,33450,47165,-3.741007194244604
2022-09-20,33450,33950,33350,33500,10910,0.14947683109118087
2022-09-21,33050,33500,32950,33100,27893,-1.1940298507462688
2022-09-22,32750,33100,32450,32950,37719,-0.4531722054380665
2022-09-23,32550,32950,32100,32100,23075,-2.579666160849772
2022-09-26,31950,31950,29900,30250,56971,-5.763239875389408
2022-09-27,29650,30850,29650,30550,25041,0.9917355371900827
2022-09-28,30250,31100,29850,30350,31995,-0.6546644844517185
2022-09-29,30400,31200,30250,30250,19053,-0.3294892915980231
2022-09-30,30300,31200,30000,30750,22691,1.6528925619834711
