날짜,시가,고가,저가,종가,거래량,등락률
2019-05-02,2696,2886,2665,2778,2310160,3.0415430267062313
2019-05-03,2777,2854,2732,2800,1049597,0.7919366450683946
2019-05-07,2764,2768,2700,2737,574868,-2.25
2019-05-08,2714,2732,2651,2665,527544,-2.630617464377055
2019-05-09,2700,2700,2551,2579,702717,-3.227016885553471
2019-05-10,2565,2619,2497,2606,447467,1.0469174098487786
2019-05-13,2560,2605,2515,2529,351004,-2.954719877206447
2019-05-14,2488,2556,2452,2547,296577,0.7117437722419928
2019-05-15,2565,2629,2543,2584,334049,1.452689438555163
2019-05-16,2583,2583,2483,2520,309463,-2.476780185758514
2019-05-17,2529,2578,2483,2493,234036,-1.0714285714285714
2019-05-20,2443,2488,2370,2380,542772,-4.532691536301645
2019-05-21,2371,2439,2357,2412,214214,1.3445378151260505
2019-05-22,2420,2438,2388,2434,183686,0.9121061359867331
2019-05-23,2425,2425,2366,2385,186560,-2.0131470829909617
2019-05-24,2357,2384,2321,2335,228563,-2.0964360587002098
2019-05-27,2335,2366,2316,2335,227760,0.0
2019-05-28,2343,2411,2325,2407,251751,3.0835117773019274
2019-05-29,2416,2416,2339,2371,167767,-1.4956377233070213
2019-05-30,2348,2366,2312,2335,233850,-1.5183466891606916
2019-05-31,2335,2394,2321,2376,194215,1.7558886509635976
