날짜,시가,고가,저가,종가,거래량,등락률
2021-03-02,18750,18750,18200,18400,7758,1.098901098901099
2021-03-03,18400,22400,18200,19250,226555,4.619565217391304
2021-03-04,19350,19350,18500,18750,21125,-2.5974025974025974
2021-03-05,18700,18700,18100,18400,15040,-1.866666666666667
2021-03-08,18950,18950,17950,18250,20810,-0.8152173913043478
2021-03-09,17950,18100,17200,17450,22992,-4.383561643835616
2021-03-10,18150,18150,17100,17100,11215,-2.005730659025788
2021-03-11,17100,17750,17100,17450,5401,2.046783625730994
2021-03-12,17700,18750,17700,18150,11488,4.011461318051576
2021-03-15,18500,18600,17800,18200,6929,0.27548209366391185
2021-03-16,18750,18750,18300,18400,10775,1.098901098901099
2021-03-17,18700,18700,18200,18700,10799,1.6304347826086956
2021-03-18,18900,19000,18600,18800,9582,0.53475935828877
2021-03-19,18600,18950,18400,18700,6478,-0.5319148936170213
2021-03-22,18600,18700,18200,18350,9394,-1.8716577540106951
2021-03-23,18550,18650,18200,18400,4003,0.2724795640326975
2021-03-24,18200,18300,18000,18050,9972,-1.9021739130434785
2021-03-25,18000,18450,18000,18200,3980,0.8310249307479225
2021-03-26,18200,18750,17900,18450,10522,1.3736263736263736
2021-03-29,18450,18900,18300,18500,7175,0.27100271002710025
2021-03-30,18500,18700,18050,18450,4969,-0.2702702702702703
2021-03-31,18400,18550,18150,18350,6048,-0.5420054200542005
