날짜,시가,고가,저가,종가,거래량,등락률
2023-08-01,4790,4940,4780,4905,2211288,2.615062761506276
2023-08-02,4890,4900,4750,4750,1526209,-3.1600407747196737
2023-08-03,4705,4740,4645,4690,1359709,-1.263157894736842
2023-08-04,4685,4840,4680,4815,1706302,2.6652452025586353
2023-08-07,4870,4875,4755,4810,1291442,-0.10384215991692627
2023-08-08,4835,4930,4775,4785,1176166,-0.5197505197505198
2023-08-09,4750,4800,4735,4775,1036524,-0.20898641588296762
2023-08-10,4775,4855,4715,4785,1743959,0.20942408376963353
2023-08-11,4830,4920,4785,4805,2194701,0.41797283176593525
2023-08-14,4800,4805,4505,4570,3386030,-4.890738813735692
2023-08-16,4565,4565,4330,4375,3999256,-4.266958424507659
2023-08-17,4330,4575,4330,4545,2497326,3.8857142857142852
2023-08-18,4500,4540,4370,4400,2468547,-3.1903190319031904
2023-08-21,4425,4510,4425,4450,1183960,1.1363636363636365
2023-08-22,4420,4465,4365,4370,1620419,-1.7977528089887642
2023-08-23,4370,4380,4260,4310,2443271,-1.3729977116704806
2023-08-24,4355,4365,4315,4320,1125577,0.23201856148491878
2023-08-25,4280,4370,4275,4335,1202773,0.3472222222222222
2023-08-28,4335,4400,4335,4385,1250523,1.1534025374855825
2023-08-29,4415,4525,4410,4450,1563612,1.4823261117445838
2023-08-30,4530,4560,4465,4475,1517681,0.5617977528089888
2023-08-31,4480,4505,4425,4460,1673721,-0.33519553072625696
