날짜,시가,고가,저가,종가,거래량,등락률
2021-01-04,8400,8870,8400,8740,16648,4.0476190476190474
2021-01-05,8740,8740,8400,8400,8687,-3.8901601830663615
2021-01-06,8570,8570,8250,8250,7618,-1.7857142857142856
2021-01-07,8160,8240,8160,8220,4265,-0.36363636363636365
2021-01-08,8380,8380,8140,8200,5832,-0.24330900243309003
2021-01-11,8200,8230,8070,8070,8521,-1.5853658536585367
2021-01-12,8190,8190,8020,8050,3385,-0.24783147459727387
2021-01-13,8070,8260,8070,8210,9513,1.9875776397515528
2021-01-14,8340,8340,8240,8270,8698,0.730816077953715
2021-01-15,8270,8280,8210,8210,6192,-0.7255139056831923
2021-01-18,8100,8290,8100,8250,3845,0.48721071863580995
2021-01-19,8250,8250,8160,8240,4349,-0.12121212121212122
2021-01-20,8200,8200,8180,8200,5679,-0.48543689320388345
2021-01-21,8210,8210,8120,8200,8729,0.0
2021-01-22,8130,8270,8130,8250,3564,0.6097560975609756
2021-01-25,8270,8270,8210,8250,3194,0.0
2021-01-26,8330,8460,8280,8460,15834,2.5454545454545454
2021-01-27,8470,8470,8300,8320,5480,-1.6548463356973995
2021-01-28,8220,8310,8190,8310,3459,-0.1201923076923077
2021-01-29,8280,8280,8080,8080,8537,-2.7677496991576414
