날짜,시가,고가,저가,종가,거래량,등락률
2019-06-03,2296,2348,2112,2235,276420,-5.216284987277354
2019-06-04,2307,2307,2173,2184,134383,-2.2818791946308723
2019-06-05,2204,2276,2184,2256,131580,3.296703296703297
2019-06-07,2255,2420,2245,2358,288291,4.521276595744681
2019-06-10,2553,3066,2543,3066,8223424,30.025445292620866
2019-06-11,3301,3630,2871,3435,17040188,12.035225048923678
2019-06-12,3281,3722,3199,3456,5174303,0.611353711790393
2019-06-13,3332,3732,3291,3548,4387637,2.662037037037037
2019-06-14,3650,3712,3486,3589,1487610,1.1555806087936866
2019-06-17,3896,4665,3804,4666,10601164,30.008358874338253
2019-06-18,4963,5086,4522,4666,6385087,0.0
2019-06-19,4850,4891,4614,4758,1990849,1.9717102443206174
2019-06-20,4819,5229,4347,4778,4196133,0.4203446826397646
2019-06-21,4778,4870,4296,4522,2130854,-5.357890330682294
2019-06-24,4306,4819,4142,4635,2938062,2.4988942945599293
2019-06-25,4706,5188,4706,5035,3895000,8.629989212513484
2019-06-26,5178,5732,4860,5732,4875858,13.843098311817279
2019-06-27,6234,6849,5824,5958,7054206,3.942777390090719
2019-06-28,6285,6521,5178,6255,4854630,4.984894259818732
