날짜,시가,고가,저가,종가,거래량,등락률
2019-07-01,8720,8750,8400,8560,223347,-1.2687427912341407
2019-07-02,8440,9220,8440,9200,557225,7.476635514018691
2019-07-03,9210,9340,9010,9100,234557,-1.0869565217391304
2019-07-04,9090,9220,8800,8860,156687,-2.6373626373626373
2019-07-05,8850,8890,8590,8890,227428,0.33860045146726864
2019-07-08,8960,8960,8570,8700,131251,-2.1372328458942635
2019-07-09,8680,8750,8340,8380,275399,-3.67816091954023
2019-07-10,8250,8560,8250,8470,93690,1.0739856801909307
2019-07-11,8480,8570,8130,8230,257896,-2.833530106257379
2019-07-12,8230,8260,8110,8150,145509,-0.9720534629404617
2019-07-15,8060,8350,8060,8180,180254,0.36809815950920244
2019-07-16,8180,8220,7920,8210,205749,0.36674816625916873
2019-07-17,8160,8180,8000,8100,122860,-1.3398294762484775
2019-07-18,8020,8070,7920,8010,87770,-1.1111111111111112
2019-07-19,8020,8120,8000,8080,44343,0.8739076154806492
2019-07-22,8030,8080,7860,8030,102622,-0.6188118811881188
2019-07-23,8030,8080,7900,8020,62544,-0.12453300124533001
2019-07-24,8020,8020,7910,8000,60523,-0.24937655860349126
2019-07-25,8000,8140,7880,8100,118288,1.25
2019-07-26,8050,8100,7760,8010,205258,-1.1111111111111112
2019-07-29,7960,8010,7440,7450,127391,-6.991260923845194
2019-07-30,7300,7720,7300,7700,68008,3.3557046979865772
2019-07-31,7600,7700,7390,7600,85185,-1.2987012987012987
