날짜,시가,고가,저가,종가,거래량,등락률
2017-05-02,241127,241586,233793,236085,141697,-1.9046906747441508
2017-05-04,235626,240669,234251,236544,115563,0.19442150073066905
2017-05-08,235168,239294,232417,238377,111430,0.774908685064935
2017-05-10,238377,245253,234251,236085,125096,-0.9615021583458135
2017-05-11,238377,238377,234709,234710,129076,-0.5824173496833768
2017-05-12,233793,243419,233793,240211,131010,2.3437433428486214
2017-05-15,244336,253963,240210,252130,229290,4.961887673753491
2017-05-16,253963,253963,247087,248462,129116,-1.4548050608812912
2017-05-17,251671,256714,248462,254880,137492,2.5830911769204143
2017-05-18,251671,257630,248920,250755,88445,-1.6184086629001881
2017-05-19,252129,254880,247545,253505,78118,1.0966880022332557
2017-05-22,253505,254880,250296,250755,63003,-1.084791226997495
2017-05-23,247545,251212,242961,247546,148572,-1.2797351996969153
2017-05-24,247087,248920,240669,242961,169946,-1.8521810087822062
2017-05-25,243878,250754,243878,248004,99865,2.0756417696667366
2017-05-26,247545,257172,246170,253047,141616,2.033434944597668
2017-05-29,253505,258089,249837,255339,128385,0.9057605899299339
2017-05-30,257172,266340,255797,260381,170152,1.9746298058659275
2017-05-31,260381,267257,258089,262673,201221,0.880248558842619
