날짜,시가,고가,저가,종가,거래량,등락률
2017-03-02,3338,3342,3260,3310,191152,0.3942978465271459
2017-03-03,3326,3326,3210,3281,172062,-0.8761329305135951
2017-03-06,3238,3275,3180,3193,159178,-2.682109113075282
2017-03-07,3176,3230,3093,3227,192487,1.0648293141246477
2017-03-08,3218,3218,3155,3202,106448,-0.7747133560582584
2017-03-09,3221,3221,3131,3144,112641,-1.811367895065584
2017-03-10,3143,3177,3098,3124,119573,-0.6361323155216284
2017-03-13,3131,3155,3093,3107,127250,-0.5441741357234315
2017-03-14,3110,3184,3081,3107,137018,0.0
2017-03-15,3143,3143,3077,3078,92222,-0.9333762471837787
2017-03-16,3123,3123,3076,3086,121072,0.2599090318388564
2017-03-17,3064,3118,3064,3086,78015,0.0
2017-03-20,3086,3086,2991,3012,136836,-2.3979261179520415
2017-03-21,3065,3065,2933,2954,250226,-1.9256308100929616
2017-03-22,2948,2973,2923,2949,124138,-0.16926201760324985
2017-03-23,2966,2966,2879,2884,188318,-2.204136995591726
2017-03-24,2870,2945,2849,2921,133858,1.2829403606102634
2017-03-27,2903,3032,2903,2987,279914,2.2595001711742553
2017-03-28,3003,3028,2933,2991,85043,0.13391362571141616
2017-03-29,2997,3014,2944,2978,148336,-0.43463724506853896
2017-03-30,2986,2986,2912,2987,182014,0.30221625251846873
2017-03-31,2986,3015,2975,2996,111349,0.3013056578506863
