날짜,시가,고가,저가,종가,거래량,등락률
2022-10-04,170000,174500,170000,173500,875,2.6627218934911245
2022-10-05,178000,178000,170000,173000,610,-0.2881844380403458
2022-10-06,173000,176500,173000,173500,402,0.2890173410404624
2022-10-07,173500,178500,173500,177000,541,2.0172910662824206
2022-10-11,174500,174500,170000,172500,722,-2.5423728813559325
2022-10-12,172500,173000,169000,172000,603,-0.2898550724637681
2022-10-13,172000,172000,167000,168500,868,-2.0348837209302326
2022-10-14,171500,175000,170500,172000,782,2.0771513353115725
2022-10-17,167000,169500,165000,168500,2253,-2.0348837209302326
2022-10-18,170500,173500,169000,172500,1225,2.3738872403560833
2022-10-19,172500,177500,171000,172000,837,-0.2898550724637681
2022-10-20,172000,172000,168000,170500,898,-0.872093023255814
2022-10-21,169000,169500,167500,169000,1038,-0.8797653958944283
2022-10-24,169500,171500,168000,168000,608,-0.591715976331361
2022-10-25,166500,170500,166500,169500,712,0.8928571428571428
2022-10-26,169500,171000,168500,171000,380,0.8849557522123894
2022-10-27,169000,174500,169000,174000,650,1.7543859649122806
2022-10-28,174000,176000,173000,173500,377,-0.28735632183908044
2022-10-31,169000,175500,169000,175500,991,1.1527377521613833
