날짜,시가,고가,저가,종가,거래량,등락률
2023-10-04,7800,8530,7470,7520,926656,5.915492957746479
2023-10-05,7470,7610,7110,7240,247314,-3.723404255319149
2023-10-06,7100,7600,7100,7410,119287,2.3480662983425415
2023-10-10,7330,7440,7230,7260,92530,-2.0242914979757085
2023-10-11,7200,7380,7200,7280,66300,0.27548209366391185
2023-10-12,7280,7530,7280,7440,64804,2.197802197802198
2023-10-13,7440,7440,7300,7370,41869,-0.9408602150537635
2023-10-16,7300,7330,7150,7220,58326,-2.03527815468114
2023-10-17,7220,7360,7220,7350,24769,1.8005540166204987
2023-10-18,7380,7480,7300,7350,46439,0.0
2023-10-19,7350,7350,7140,7170,73393,-2.4489795918367347
2023-10-20,7020,7170,6930,7050,76860,-1.6736401673640167
2023-10-23,6990,7100,6940,7000,50340,-0.7092198581560284
2023-10-24,7080,7170,6910,7110,43191,1.5714285714285716
2023-10-25,7180,7330,7140,7310,70061,2.8129395218002813
2023-10-26,7260,7260,7080,7110,62493,-2.7359781121751023
2023-10-27,7060,7220,7030,7120,60308,0.14064697609001406
2023-10-30,7040,7290,7030,7200,33162,1.1235955056179776
2023-10-31,7180,7350,7160,7180,34601,-0.2777777777777778
