날짜,시가,고가,저가,종가,거래량,등락률
2022-06-02,1945,1965,1890,1910,137040,-2.051282051282051
2022-06-03,1905,1945,1905,1920,93396,0.5235602094240838
2022-06-07,1920,1950,1875,1925,130704,0.26041666666666663
2022-06-08,1920,1940,1900,1930,65858,0.2597402597402597
2022-06-09,1910,1930,1850,1870,195543,-3.1088082901554404
2022-06-10,1870,1875,1830,1875,82101,0.267379679144385
2022-06-13,1810,1825,1740,1750,191740,-6.666666666666667
2022-06-14,1730,1735,1650,1680,228217,-4.0
2022-06-15,1645,1700,1575,1605,312578,-4.464285714285714
2022-06-16,1650,1675,1580,1620,101935,0.9345794392523363
2022-06-17,1585,1760,1520,1630,287588,0.6172839506172839
2022-06-20,1620,1655,1505,1530,164962,-6.134969325153374
2022-06-21,1500,1585,1500,1565,82004,2.287581699346405
2022-06-22,1540,1620,1465,1465,152397,-6.3897763578274756
2022-06-23,1440,1485,1345,1350,259252,-7.849829351535837
2022-06-24,1305,1435,1305,1420,343286,5.185185185185185
2022-06-27,1430,1525,1420,1490,151855,4.929577464788732
2022-06-28,1500,1565,1500,1540,148600,3.3557046979865772
2022-06-29,1490,1595,1490,1580,110140,2.5974025974025974
2022-06-30,1570,1570,1525,1555,54552,-1.5822784810126582
