날짜,시가,고가,저가,종가,거래량,등락률
2017-12-01,1700,1735,1680,1715,302221,0.8823529411764706
2017-12-04,1730,1740,1705,1715,208005,0.0
2017-12-05,1715,1775,1710,1765,454460,2.9154518950437316
2017-12-06,1795,2140,1765,1900,9588762,7.64872521246459
2017-12-07,1880,1890,1775,1810,1183322,-4.736842105263158
2017-12-08,1815,1820,1770,1770,461549,-2.209944751381215
2017-12-11,1775,1835,1775,1790,359653,1.1299435028248588
2017-12-12,1805,1815,1765,1770,197074,-1.1173184357541899
2017-12-13,1785,1815,1745,1790,325401,1.1299435028248588
2017-12-14,1800,1810,1770,1790,148469,0.0
2017-12-15,1790,1795,1755,1770,220620,-1.1173184357541899
2017-12-18,1770,1785,1745,1775,209218,0.2824858757062147
2017-12-19,1780,1795,1740,1780,377598,0.28169014084507044
2017-12-20,1795,1795,1730,1740,255640,-2.247191011235955
2017-12-21,1720,1770,1710,1715,349179,-1.4367816091954022
2017-12-22,1715,1740,1700,1720,144368,0.2915451895043732
2017-12-26,1710,1735,1700,1705,110968,-0.872093023255814
2017-12-27,1705,1715,1700,1705,60435,0.0
2017-12-28,1705,1725,1675,1700,145709,-0.2932551319648094
