날짜,시가,고가,저가,종가,거래량,등락률
2017-05-02,243000,248000,241000,245000,80878,1.0309278350515463
2017-05-04,243000,248500,243000,248500,71234,1.4285714285714286
2017-05-08,250500,250500,242500,250000,107860,0.6036217303822937
2017-05-10,255000,257000,245000,245500,165472,-1.7999999999999998
2017-05-11,247500,247500,243000,246000,177361,0.20366598778004072
2017-05-12,246000,251500,244000,250500,173904,1.8292682926829267
2017-05-15,251000,254500,248500,249000,161145,-0.5988023952095809
2017-05-16,250000,256500,246500,255500,555720,2.610441767068273
2017-05-17,256000,264500,255000,261500,326616,2.3483365949119372
2017-05-18,258500,264500,255500,262000,205460,0.19120458891013384
2017-05-19,261000,268000,261000,266000,158433,1.5267175572519083
2017-05-22,269500,270000,262500,265500,168990,-0.18796992481203006
2017-05-23,265000,273500,263500,271000,233054,2.0715630885122414
2017-05-24,273000,275000,267500,270000,219859,-0.36900369003690037
2017-05-25,273000,280500,269000,280500,250433,3.888888888888889
2017-05-26,280500,281500,274000,274500,271968,-2.13903743315508
2017-05-29,276500,285500,274000,280000,282786,2.0036429872495445
2017-05-30,281000,283000,272000,273000,252828,-2.5
2017-05-31,272500,279000,271000,273500,1473645,0.18315018315018314
