날짜,시가,고가,저가,종가,거래량,등락률
2022-04-01,17050,18000,16950,17900,31959,4.9853372434017595
2022-04-04,18000,18500,18000,18250,33898,1.9553072625698324
2022-04-05,18250,18350,17800,18150,8001,-0.547945205479452
2022-04-06,18050,18500,17950,18400,20844,1.3774104683195594
2022-04-07,18400,18400,17850,17950,17121,-2.4456521739130435
2022-04-08,17950,18100,17550,17750,14362,-1.1142061281337048
2022-04-11,17800,18050,17500,17800,6862,0.28169014084507044
2022-04-12,17800,17850,17450,17750,11286,-0.2808988764044944
2022-04-13,17800,18400,17700,18350,19460,3.3802816901408446
2022-04-14,18450,18600,18200,18600,19601,1.3623978201634876
2022-04-15,18550,18700,18250,18450,15966,-0.8064516129032258
2022-04-18,18450,19250,18350,18950,58552,2.710027100271003
2022-04-19,19100,19100,18600,19000,16493,0.2638522427440633
2022-04-20,18900,18950,18650,18750,14361,-1.3157894736842104
2022-04-21,18850,18850,18400,18600,11811,-0.8
2022-04-22,18550,18650,18250,18650,11955,0.2688172043010753
2022-04-25,18300,18650,17750,18000,24249,-3.485254691689008
2022-04-26,18100,18450,18000,18400,14275,2.2222222222222223
2022-04-27,18200,18200,17700,18150,16688,-1.358695652173913
2022-04-28,18200,19250,18200,19000,81476,4.683195592286501
2022-04-29,19400,19950,18800,19100,56200,0.5263157894736842
