날짜,시가,고가,저가,종가,거래량,등락률
2017-09-01,3760,3860,3725,3855,1412097,3.6290322580645165
2017-09-04,3670,3840,3645,3700,907913,-4.020752269779507
2017-09-05,3750,3780,3460,3495,1239441,-5.540540540540541
2017-09-06,3500,3530,3395,3415,687475,-2.28898426323319
2017-09-07,3430,3530,3350,3480,848588,1.903367496339678
2017-09-08,3470,3510,3335,3345,649431,-3.8793103448275863
2017-09-11,3345,3470,3345,3395,470933,1.4947683109118086
2017-09-12,3410,3560,3405,3510,965633,3.3873343151693667
2017-09-13,3495,3570,3400,3405,611011,-2.9914529914529915
2017-09-14,3450,3450,3365,3375,343787,-0.881057268722467
2017-09-15,3360,3470,3355,3375,500572,0.0
2017-09-18,3375,3430,3180,3180,959818,-5.777777777777778
2017-09-19,3180,3215,3100,3185,454458,0.15723270440251574
2017-09-20,3185,3210,2960,2970,877157,-6.750392464678178
2017-09-21,2970,3020,2845,2850,557819,-4.040404040404041
2017-09-22,2830,2910,2755,2755,468325,-3.3333333333333335
2017-09-25,2740,2850,2740,2770,377099,0.5444646098003629
2017-09-26,2710,2950,2670,2865,556991,3.429602888086643
2017-09-27,2835,2895,2810,2830,250357,-1.2216404886561953
2017-09-28,2840,2880,2820,2840,184145,0.35335689045936397
2017-09-29,2845,2880,2830,2835,160328,-0.17605633802816903
