날짜,시가,고가,저가,종가,거래량,등락률
2023-07-03,10250,10300,10120,10220,756,-0.09775171065493646
2023-07-04,10350,10350,10070,10100,364,-1.1741682974559686
2023-07-05,10170,10270,10080,10120,930,0.19801980198019803
2023-07-06,10130,10410,10080,10080,664,-0.3952569169960474
2023-07-07,10070,10340,9990,10070,1027,-0.0992063492063492
2023-07-10,10110,10130,9790,9940,1959,-1.2909632571996028
2023-07-11,10030,10030,9920,9940,271,0.0
2023-07-12,10080,10080,9880,9910,1014,-0.30181086519114686
2023-07-13,10180,10190,9880,9920,437,0.10090817356205853
2023-07-14,10020,10030,9840,9850,567,-0.7056451612903225
2023-07-17,9700,9920,9620,9790,2024,-0.6091370558375634
2023-07-18,9930,9930,9760,9890,1001,1.0214504596527068
2023-07-19,9900,9980,9820,9970,2244,0.8088978766430739
2023-07-20,10010,10030,9870,9980,2096,0.10030090270812438
2023-07-21,9960,9960,9790,9820,1796,-1.6032064128256511
2023-07-24,10020,10020,9580,9670,1809,-1.5274949083503055
2023-07-25,9790,9790,9520,9590,694,-0.8273009307135472
2023-07-26,9950,11280,9550,9700,61167,1.1470281543274243
2023-07-27,9720,9890,9220,9220,8181,-4.948453608247423
2023-07-28,9200,9300,9150,9230,1716,0.10845986984815618
2023-07-31,9280,9500,9280,9390,1851,1.7334777898158178
