날짜,시가,고가,저가,종가,거래량,등락률
2017-01-02,17960,17960,17240,17400,2397,-3.11804008908686
2017-01-03,17400,17740,17400,17700,2315,1.7241379310344827
2017-01-04,17520,17620,17000,17020,5181,-3.84180790960452
2017-01-05,17020,17020,16000,16560,3243,-2.7027027027027026
2017-01-06,16440,17760,16440,17320,2649,4.5893719806763285
2017-01-09,17740,17980,17340,17340,1690,0.11547344110854503
2017-01-10,17220,17360,16820,17120,1124,-1.2687427912341407
2017-01-11,17100,17440,16920,17280,408,0.9345794392523363
2017-01-12,17680,17680,17020,17300,641,0.11574074074074073
2017-01-13,17040,17300,17040,17300,879,0.0
2017-01-16,17460,17480,17200,17400,509,0.5780346820809248
2017-01-17,17400,17480,17260,17380,405,-0.11494252873563218
2017-01-18,17660,17680,17100,17620,882,1.380897583429229
2017-01-19,17620,17640,17300,17640,204,0.11350737797956867
2017-01-20,17400,17680,17100,17360,938,-1.5873015873015872
2017-01-23,17360,17380,17140,17360,224,0.0
2017-01-24,17620,17620,17040,17060,613,-1.7281105990783412
2017-01-25,17060,17300,17060,17280,806,1.2895662368112544
2017-01-26,17380,17580,17320,17320,460,0.23148148148148145
2017-01-31,17200,17380,17200,17200,418,-0.6928406466512702
