날짜,시가,고가,저가,종가,거래량,등락률
2020-05-04,8193,8193,7855,7913,11643,-3.4293385403954115
2020-05-06,7922,8126,7787,8020,12888,1.3522052318968785
2020-05-07,7893,8048,7787,7884,6860,-1.6957605985037407
2020-05-08,7913,8261,7903,8029,7426,1.8391679350583459
2020-05-11,8193,10399,7845,10399,1002837,29.517997259932745
2020-05-12,11802,13446,11221,12238,2427602,17.6843927300702
2020-05-13,12334,14123,11608,12818,1308694,4.739336492890995
2020-05-14,12382,15381,12092,12673,1293416,-1.1312217194570136
2020-05-15,11898,13204,11463,11947,782122,-5.728714590073385
2020-05-18,12140,13349,11753,12479,543459,4.453000753327195
2020-05-19,12430,13204,12044,12092,226351,-3.101210032855197
2020-05-20,12285,13882,12092,12915,593954,6.806152828316242
2020-05-21,12817,13446,12624,12624,212585,-2.253193960511034
2020-05-22,12527,13640,12285,12866,395946,1.9169835234474015
2020-05-25,12817,13882,12672,12915,635440,0.38084874863982593
2020-05-26,13011,15188,12914,13543,1746819,4.8625629113433995
2020-05-27,13350,13978,13059,13157,189848,-2.850180905264712
2020-05-28,13156,14123,12189,12673,463759,-3.678650148210078
2020-05-29,12430,12817,12189,12479,74666,-1.530813540598122
