날짜,시가,고가,저가,종가,거래량,등락률
2022-05-02,3145,3205,3095,3110,139933,-1.2698412698412698
2022-05-03,3150,3150,3075,3080,49323,-0.964630225080386
2022-05-04,3085,3120,3050,3080,61956,0.0
2022-05-06,2995,3085,2975,3085,92967,0.16233766233766234
2022-05-09,3085,3085,2905,3070,197782,-0.48622366288492713
2022-05-10,3065,3070,2950,3060,129627,-0.32573289902280134
2022-05-11,3050,3080,2995,3035,83903,-0.8169934640522877
2022-05-12,3040,3040,2955,3030,130060,-0.16474464579901155
2022-05-13,3030,3230,2955,3020,583322,-0.33003300330033003
2022-05-16,2980,3050,2960,3030,159049,0.33112582781456956
2022-05-17,3030,3035,2985,3015,55818,-0.49504950495049505
2022-05-18,3000,3040,2970,3035,73260,0.6633499170812603
2022-05-19,2995,3035,2960,3025,127772,-0.3294892915980231
2022-05-20,3010,3155,2985,3150,175868,4.132231404958678
2022-05-23,3140,3490,3120,3410,1851202,8.253968253968253
2022-05-24,3405,3635,3365,3555,1006622,4.252199413489736
2022-05-25,3515,3630,3450,3615,499379,1.6877637130801686
2022-05-26,3630,3655,3355,3450,479220,-4.564315352697095
2022-05-27,3450,3450,3015,3065,1139285,-11.159420289855072
2022-05-30,3150,3635,3125,3495,2556740,14.02936378466558
2022-05-31,3485,3540,3390,3515,711750,0.5722460658082975
