날짜,시가,고가,저가,종가,거래량,등락률
2019-09-02,37850,37950,37200,37650,1002,-0.5284015852047557
2019-09-03,38000,38300,36950,38300,814,1.7264276228419653
2019-09-04,38850,38850,36700,38350,1643,0.13054830287206268
2019-09-05,38350,38750,37400,38300,3230,-0.1303780964797914
2019-09-06,38300,38850,38100,38450,1766,0.39164490861618795
2019-09-09,38450,38900,37950,38250,1995,-0.5201560468140443
2019-09-10,39100,39100,37600,38200,628,-0.130718954248366
2019-09-11,38450,38900,38200,38350,1037,0.3926701570680628
2019-09-16,39000,39000,38100,38450,1132,0.2607561929595828
2019-09-17,38800,38900,38250,38500,1957,0.13003901170351106
2019-09-18,38500,39000,38500,38700,1227,0.5194805194805194
2019-09-19,39000,39050,38550,38850,941,0.3875968992248062
2019-09-20,38850,39250,38600,38900,3865,0.1287001287001287
2019-09-23,38800,39100,38450,38850,1411,-0.12853470437017994
2019-09-24,39550,39550,38850,38850,3017,0.0
2019-09-25,39600,39600,38500,39000,1275,0.3861003861003861
2019-09-26,39700,39700,38400,39050,1473,0.1282051282051282
2019-09-27,39050,39950,38700,39000,639,-0.12804097311139565
2019-09-30,39250,39800,38250,39100,104,0.2564102564102564
