날짜,시가,고가,저가,종가,거래량,등락률
2017-07-03,72600,73500,72500,73400,106823,1.662049861495845
2017-07-04,72100,73700,71700,72100,143502,-1.7711171662125342
2017-07-05,72100,72700,72000,72000,70781,-0.13869625520110956
2017-07-06,72100,72500,70600,70900,160927,-1.5277777777777777
2017-07-07,70200,70500,68700,69000,329703,-2.6798307475317347
2017-07-10,69400,70200,68700,69200,164472,0.2898550724637681
2017-07-11,68800,70900,68800,69400,133976,0.2890173410404624
2017-07-12,69400,70400,69000,69200,149883,-0.2881844380403458
2017-07-13,69100,69800,68900,69500,92349,0.4335260115606936
2017-07-14,70000,70100,69200,69500,81999,0.0
2017-07-17,69600,71600,69600,70900,161849,2.014388489208633
2017-07-18,71500,71700,70900,71100,99376,0.2820874471086037
2017-07-19,71600,72400,71200,72000,153230,1.2658227848101267
2017-07-20,71600,71700,70700,71200,143765,-1.1111111111111112
2017-07-21,71200,71200,70200,70400,102885,-1.1235955056179776
2017-07-24,70300,70600,70100,70600,69613,0.2840909090909091
2017-07-25,70100,70700,69700,70700,108877,0.141643059490085
2017-07-26,70800,74500,70800,74000,429388,4.667609618104668
2017-07-27,74000,74300,73200,74200,160739,0.2702702702702703
2017-07-28,74200,75300,73500,73800,169325,-0.5390835579514826
2017-07-31,72500,72900,70600,71000,231016,-3.7940379403794036
