날짜,시가,고가,저가,종가,거래량,등락률
2019-12-02,56400,56400,55300,56200,43,-0.3546099290780142
2019-12-03,56200,56200,54100,54600,487,-2.8469750889679712
2019-12-04,54200,55500,54000,55500,552,1.6483516483516485
2019-12-05,56700,56700,54700,55100,559,-0.7207207207207207
2019-12-06,54300,57000,54300,55200,1759,0.18148820326678766
2019-12-09,55300,57000,55300,56400,707,2.1739130434782608
2019-12-10,55500,65500,55500,59900,7585,6.205673758865248
2019-12-11,58800,62000,58300,58600,1778,-2.1702838063439067
2019-12-12,59600,61800,58100,61000,788,4.09556313993174
2019-12-13,62900,62900,60100,60300,1320,-1.1475409836065573
2019-12-16,60000,62600,60000,60300,554,0.0
2019-12-17,60300,62800,60300,61600,645,2.155887230514096
2019-12-18,61100,62800,61000,61600,575,0.0
2019-12-19,61600,63500,60700,60700,360,-1.461038961038961
2019-12-20,60100,62000,60100,60800,253,0.16474464579901155
2019-12-23,60800,61400,60200,61400,191,0.9868421052631579
2019-12-24,61400,72100,60100,60100,12885,-2.1172638436482085
2019-12-26,59800,62000,59300,60200,911,0.16638935108153077
2019-12-27,60800,61600,60200,60200,243,0.0
2019-12-30,60200,62500,60100,60600,301,0.6644518272425249
