날짜,시가,고가,저가,종가,거래량,등락률
2018-08-01,80000,80400,80000,80400,92,0.0
2018-08-02,80600,81200,80000,80500,49,0.12437810945273632
2018-08-03,80400,80800,79600,80600,146,0.12422360248447205
2018-08-06,80600,81800,80600,81700,1105,1.3647642679900744
2018-08-07,81600,81700,80900,81700,42,0.0
2018-08-08,81500,81700,81100,81600,35,-0.12239902080783352
2018-08-09,81300,81300,80700,81200,1079,-0.49019607843137253
2018-08-10,80400,81900,80400,81900,696,0.8620689655172413
2018-08-13,81900,81900,80700,80800,1303,-1.3431013431013432
2018-08-14,80600,80600,79900,80000,1002,-0.9900990099009901
2018-08-16,79800,80700,79000,79400,157,-0.75
2018-08-17,79500,79500,79000,79300,929,-0.12594458438287154
2018-08-20,79300,80000,78900,79400,541,0.12610340479192939
2018-08-21,79400,79500,79400,79400,472,0.0
2018-08-22,79400,79900,79300,79900,115,0.6297229219143577
2018-08-23,79900,80400,79000,80100,540,0.2503128911138924
2018-08-24,80100,80400,79300,80000,1028,-0.12484394506866417
2018-08-27,80000,80000,79200,79400,117,-0.75
2018-08-28,79000,79500,79000,79200,1038,-0.2518891687657431
2018-08-29,79200,79400,78500,79000,494,-0.25252525252525254
2018-08-30,79000,80000,78800,80000,1347,1.2658227848101267
2018-08-31,79100,80100,79100,79700,727,-0.375
