날짜,시가,고가,저가,종가,거래량,등락률
2021-07-01,37000,37000,34450,34450,46462,-5.357142857142857
2021-07-02,31800,34050,29500,30950,154193,-10.159651669085632
2021-07-05,31450,31450,29300,30600,62632,-1.1308562197092082
2021-07-06,30850,31550,30850,31400,52005,2.6143790849673203
2021-07-07,31050,31050,30050,30100,32181,-4.140127388535031
2021-07-08,29000,29000,27350,28000,84159,-6.976744186046512
2021-07-09,26900,28300,26900,28300,35098,1.0714285714285714
2021-07-12,28000,28500,27850,28000,19505,-1.0600706713780919
2021-07-13,28400,29050,28000,28400,25516,1.4285714285714286
2021-07-14,27650,27650,26300,26300,50713,-7.394366197183098
2021-07-15,25850,25850,24800,24800,57543,-5.7034220532319395
2021-07-16,24000,24000,23350,23800,48598,-4.032258064516129
2021-07-19,24100,24500,24100,24150,54687,1.4705882352941175
2021-07-20,25800,31050,25050,28600,1138156,18.426501035196686
2021-07-21,27300,27850,25750,26400,211476,-7.6923076923076925
2021-07-22,26000,30450,25700,27400,547207,3.787878787878788
2021-07-23,25750,26500,25700,25700,57218,-6.204379562043796
2021-07-26,28000,30000,27500,29350,103937,14.202334630350194
2021-07-27,29400,32000,29400,31800,121730,8.347529812606473
2021-07-28,31500,31500,29550,30700,51434,-3.459119496855346
2021-07-29,30950,31100,30800,31100,32203,1.3029315960912053
2021-07-30,32200,35500,31950,34100,150535,9.646302250803858
