날짜,시가,고가,저가,종가,거래량,등락률
2020-06-01,1725,1780,1725,1770,676716,2.9069767441860463
2020-06-02,1775,1875,1775,1860,1984025,5.084745762711865
2020-06-03,1900,1990,1885,1940,3055164,4.301075268817205
2020-06-04,1975,2030,1875,1920,1891749,-1.0309278350515463
2020-06-05,1910,1980,1905,1960,1123510,2.083333333333333
2020-06-08,2040,2040,1950,1965,1290832,0.25510204081632654
2020-06-09,1975,2010,1925,1955,1207176,-0.5089058524173028
2020-06-10,1965,1965,1910,1935,749451,-1.0230179028132993
2020-06-11,1925,1930,1880,1920,955349,-0.7751937984496124
2020-06-12,1825,1845,1790,1840,1501194,-4.166666666666666
2020-06-15,1815,1820,1685,1685,2134681,-8.423913043478262
2020-06-16,1735,1820,1725,1820,1519015,8.011869436201781
2020-06-17,1800,1940,1775,1845,1689688,1.3736263736263736
2020-06-18,1850,1920,1835,1870,1184234,1.3550135501355014
2020-06-19,1900,1915,1820,1880,1179516,0.53475935828877
2020-06-22,1870,1870,1825,1825,537148,-2.925531914893617
2020-06-23,1830,1850,1770,1800,683475,-1.36986301369863
2020-06-24,1815,1830,1780,1800,623760,0.0
2020-06-25,1750,1775,1715,1735,869981,-3.6111111111111107
2020-06-26,1755,1765,1710,1730,683295,-0.2881844380403458
2020-06-29,1680,1690,1640,1645,881784,-4.913294797687861
2020-06-30,1685,1695,1625,1650,830850,0.303951367781155
