날짜,시가,고가,저가,종가,거래량,등락률
2021-10-01,53000,53000,51200,51200,4109,-3.3962264150943398
2021-10-05,51200,51200,49800,49900,786,-2.5390625
2021-10-06,49800,54700,49300,49300,670,-1.2024048096192386
2021-10-07,49000,50000,49000,49700,188,0.8113590263691683
2021-10-08,50300,50300,49000,49900,445,0.4024144869215292
2021-10-12,49000,50000,49000,49500,304,-0.8016032064128256
2021-10-13,50200,50200,49300,50000,122,1.0101010101010102
2021-10-14,49400,50200,49400,50200,452,0.4
2021-10-15,50800,50800,50800,50800,49,1.1952191235059761
2021-10-18,52600,52600,50800,51800,147,1.968503937007874
2021-10-19,51800,52800,51800,52700,119,1.7374517374517375
2021-10-20,53500,53500,50800,50800,836,-3.6053130929791273
2021-10-21,51700,52800,51700,52400,272,3.149606299212598
2021-10-22,52800,52800,51400,52800,204,0.7633587786259541
2021-10-25,52800,53000,52200,52200,28,-1.1363636363636365
2021-10-26,52500,53000,50600,52300,152,0.19157088122605362
2021-10-27,53000,53000,52300,52300,31,0.0
2021-10-28,52400,52900,52400,52400,186,0.19120458891013384
2021-10-29,53300,53300,51500,52400,155,0.0
