날짜,시가,고가,저가,종가,거래량,등락률
2023-01-02,3850,3870,3730,3740,109850,-2.857142857142857
2023-01-03,3705,3760,3640,3740,180647,0.0
2023-01-04,3700,3845,3690,3835,52871,2.5401069518716577
2023-01-05,3870,3880,3755,3790,218590,-1.1734028683181226
2023-01-06,3790,3895,3760,3830,98961,1.0554089709762533
2023-01-09,3830,3975,3830,3975,93278,3.7859007832898173
2023-01-10,3990,4055,3950,4010,139244,0.8805031446540881
2023-01-11,4010,4040,3985,4000,39931,-0.24937655860349126
2023-01-12,4040,4040,3970,3985,34082,-0.375
2023-01-13,4020,4020,3955,3980,81797,-0.12547051442910914
2023-01-16,4000,4000,3970,4000,76470,0.5025125628140703
2023-01-17,4000,4035,3970,3990,72185,-0.25
2023-01-18,3990,4035,3975,4005,74188,0.37593984962406013
2023-01-19,4000,4020,3975,4020,27337,0.37453183520599254
2023-01-20,4020,4025,3995,4015,31450,-0.12437810945273632
2023-01-25,4040,4190,4035,4125,161477,2.73972602739726
2023-01-26,4105,4185,4105,4170,99724,1.090909090909091
2023-01-27,4135,4185,4115,4125,142834,-1.079136690647482
2023-01-30,4130,4150,4085,4105,51163,-0.48484848484848486
2023-01-31,4115,4145,4050,4120,73062,0.3654080389768575
