날짜,시가,고가,저가,종가,거래량,등락률
2020-03-02,8019,8019,7710,7797,12026,1.1284046692607004
2020-03-03,8164,8164,7797,7826,9476,0.3719379248428883
2020-03-04,7932,8087,7864,8087,7670,3.335037055967289
2020-03-05,8271,8425,8068,8136,9579,0.6059107209101027
2020-03-06,8106,8145,7893,8058,4849,-0.9587020648967551
2020-03-09,7835,8048,7458,7555,22129,-6.242243732936212
2020-03-10,7061,7835,7061,7507,22227,-0.6353408338848444
2020-03-11,7555,7565,6936,6936,16730,-7.606234181430664
2020-03-12,6936,6945,5997,6056,30005,-12.687427912341406
2020-03-13,5988,5988,4614,5504,24753,-9.114927344782034
2020-03-16,5581,5872,5272,5272,15080,-4.215116279069767
2020-03-17,5272,5272,4933,5118,18493,-2.921092564491654
2020-03-18,5407,5407,4807,4808,17177,-6.05705353653771
2020-03-19,4740,5049,3966,4179,11140,-13.082362728785357
2020-03-20,4179,5417,4116,5059,145257,21.05766929887533
2020-03-23,4459,5127,4353,4614,52853,-8.796204783554062
2020-03-24,4822,5997,4817,5998,135288,29.995665366276548
2020-03-25,7110,7352,6288,6336,190414,5.635211737245749
2020-03-26,6210,6713,5997,6433,50429,1.5309343434343434
2020-03-27,6839,7516,5920,6211,84901,-3.4509560080833204
2020-03-30,6046,6288,5688,6278,21340,1.0787312832072131
2020-03-31,6578,6578,6075,6249,36201,-0.4619305511309334
