날짜,시가,고가,저가,종가,거래량,등락률
2022-09-01,13800,13800,13350,13350,2054,-3.6101083032490973
2022-09-02,13350,13700,13200,13300,660,-0.37453183520599254
2022-09-05,13200,13250,13100,13100,3456,-1.5037593984962405
2022-09-06,13200,13650,13200,13350,1274,1.9083969465648856
2022-09-07,13350,13350,12600,12800,2675,-4.119850187265917
2022-09-08,12800,13300,12800,13050,468,1.953125
2022-09-13,13100,14000,12800,13650,3618,4.597701149425287
2022-09-14,13550,13550,13050,13350,1446,-2.197802197802198
2022-09-15,13350,13400,12950,12950,3148,-2.9962546816479403
2022-09-16,12850,13000,12550,12950,3742,0.0
2022-09-19,12950,13000,12600,12650,897,-2.3166023166023164
2022-09-20,12750,12900,12600,12700,2925,0.3952569169960474
2022-09-21,12450,12900,11700,12300,11918,-3.149606299212598
2022-09-22,12200,12250,11800,12050,3202,-2.0325203252032518
2022-09-23,12050,12050,11000,11500,6079,-4.564315352697095
2022-09-26,11000,11400,10600,10650,4072,-7.391304347826087
2022-09-27,10150,10650,10000,10500,12385,-1.4084507042253522
2022-09-28,10300,10350,9780,10150,6975,-3.3333333333333335
2022-09-29,10150,10750,10050,10150,2730,0.0
2022-09-30,9640,10250,9640,10050,3476,-0.9852216748768473
