날짜,시가,고가,저가,종가,거래량,등락률
2023-05-02,26800,27900,26600,27600,21868,2.9850746268656714
2023-05-03,27500,28750,27450,28200,18864,2.1739130434782608
2023-05-04,27950,28200,27700,28150,7233,-0.1773049645390071
2023-05-08,28600,29100,28050,28600,23714,1.5985790408525755
2023-05-09,28700,29400,28200,28650,23180,0.17482517482517482
2023-05-10,28850,29100,27950,28200,22170,-1.5706806282722512
2023-05-11,28550,29100,28050,28750,12072,1.950354609929078
2023-05-12,28750,29400,27550,29150,51137,1.391304347826087
2023-05-15,29200,29200,27700,27850,33783,-4.459691252144083
2023-05-16,28050,28350,27450,27750,14925,-0.3590664272890485
2023-05-17,27700,28500,27700,28300,20577,1.981981981981982
2023-05-18,28350,28900,28100,28500,18223,0.7067137809187279
2023-05-19,28750,28750,28300,28300,15230,-0.7017543859649122
2023-05-22,28350,29200,28250,28950,24078,2.2968197879858656
2023-05-23,29100,29400,28700,29200,20108,0.8635578583765112
2023-05-24,29050,30500,28850,29800,36575,2.054794520547945
2023-05-25,29800,29800,29100,29250,11340,-1.8456375838926176
2023-05-26,29350,29350,28350,28350,22485,-3.076923076923077
2023-05-30,28400,28650,27950,28500,9423,0.5291005291005291
2023-05-31,28400,28550,28250,28450,8216,-0.17543859649122806
