날짜,시가,고가,저가,종가,거래량,등락률
2022-12-01,20750,21700,20350,20850,98699,2.70935960591133
2022-12-02,21150,21150,20500,20800,60586,-0.2398081534772182
2022-12-05,20750,21200,20750,21050,43889,1.201923076923077
2022-12-06,21050,21350,20600,20700,57550,-1.66270783847981
2022-12-07,20950,21700,20450,21600,93382,4.3478260869565215
2022-12-08,21750,21800,21000,21300,86960,-1.3888888888888888
2022-12-09,21750,21750,21150,21250,38283,-0.2347417840375587
2022-12-12,21200,21400,20850,20950,41737,-1.411764705882353
2022-12-13,21200,21550,20850,21450,36585,2.386634844868735
2022-12-14,21500,22000,21300,21300,42656,-0.6993006993006993
2022-12-15,21650,21650,21000,21050,27662,-1.1737089201877933
2022-12-16,20950,21200,20350,21200,32527,0.7125890736342043
2022-12-19,20750,20950,20700,20750,22914,-2.1226415094339623
2022-12-20,20650,21100,20500,20550,26349,-0.9638554216867471
2022-12-21,20700,21200,20350,20900,31891,1.70316301703163
2022-12-22,20950,21450,20950,21350,45301,2.15311004784689
2022-12-23,21350,21350,20400,20600,46016,-3.51288056206089
2022-12-26,20500,20800,20250,20750,34860,0.7281553398058253
2022-12-27,20600,21050,20550,20900,43674,0.7228915662650602
2022-12-28,20500,21300,20150,20850,55198,-0.23923444976076555
2022-12-29,20750,20750,19900,20350,53230,-2.3980815347721824
