날짜,시가,고가,저가,종가,거래량,등락률
2019-03-04,6246,6407,6246,6408,5779,2.5936599423631126
2019-03-05,6461,6461,6267,6365,2379,-0.6710362047440699
2019-03-06,6364,6364,6310,6354,1492,-0.17282010997643363
2019-03-07,6386,6386,6224,6225,2353,-2.0302171860245513
2019-03-08,6235,6267,6138,6246,4299,0.3373493975903614
2019-03-11,6224,6224,6138,6171,1974,-1.2007684918347743
2019-03-12,6181,6246,6181,6246,317,1.2153621779290227
2019-03-13,6278,6278,6235,6257,46,0.17611271213576687
2019-03-14,6256,6256,6235,6235,2324,-0.3516062010548186
2019-03-15,6246,6256,6192,6246,2425,0.1764234161988773
2019-03-18,6192,6246,6192,6214,3125,-0.5123278898495036
2019-03-19,6246,6246,6213,6225,4984,0.1770196330865787
2019-03-20,6224,6224,6192,6192,1450,-0.5301204819277108
2019-03-21,6203,6246,6192,6225,1332,0.5329457364341085
2019-03-22,6224,6235,6203,6235,1221,0.1606425702811245
2019-03-25,6224,6224,6181,6182,3327,-0.8500400962309542
2019-03-26,6170,6192,6170,6192,1233,0.16175994823681655
2019-03-27,6192,6192,6138,6192,6654,0.0
2019-03-28,6192,6192,6106,6149,3538,-0.6944444444444444
2019-03-29,6149,6192,6095,6138,3642,-0.17889087656529518
