날짜,시가,고가,저가,종가,거래량,등락률
2018-06-01,13997,14044,13546,13594,111690,-2.7193359095463
2018-06-04,13760,13807,13261,13309,91626,-2.0965131675739297
2018-06-05,13380,13498,12289,12621,416651,-5.16943421744684
2018-06-07,12668,12977,12455,12740,187545,0.9428729894620078
2018-06-08,12644,12692,12455,12645,84662,-0.7456828885400314
2018-06-11,12858,13119,12787,13049,104379,3.194938710952946
2018-06-12,13238,13403,13072,13167,148985,0.9042838531688252
2018-06-14,13166,13427,12929,13191,115172,0.18227386648439278
2018-06-15,13285,13570,13190,13523,208385,2.5168675612159808
2018-06-18,13570,13570,12478,12859,165774,-4.910153072543075
2018-06-19,12858,12929,11482,11767,257175,-8.49210669569951
2018-06-20,11529,12455,11529,11981,213224,1.81864536415399
2018-06-21,12028,12265,11672,11838,87688,-1.1935564644019698
2018-06-22,11838,12146,11553,12029,64977,1.6134482176043252
2018-06-25,12051,12715,12051,12621,68639,4.921439853686923
2018-06-26,12502,12621,12241,12574,37899,-0.3723952143253308
2018-06-27,12621,12882,12502,12692,72309,0.938444409098139
2018-06-28,12549,12715,12502,12574,40382,-0.9297195083517177
2018-06-29,12597,12977,12526,12954,56639,3.0221091140448544
