날짜,시가,고가,저가,종가,거래량,등락률
2023-03-02,2945,2970,2930,2970,62254,1.5384615384615385
2023-03-03,2970,2985,2920,2920,39195,-1.6835016835016834
2023-03-06,2945,2990,2920,2950,25738,1.0273972602739725
2023-03-07,2950,2955,2915,2940,12710,-0.3389830508474576
2023-03-08,2940,2940,2920,2930,16698,-0.3401360544217687
2023-03-09,2930,2930,2890,2930,36189,0.0
2023-03-10,2900,2900,2840,2840,35352,-3.0716723549488054
2023-03-13,2720,2800,2715,2760,37942,-2.8169014084507045
2023-03-14,2725,2735,2510,2675,41266,-3.0797101449275366
2023-03-15,2645,2785,2645,2730,41764,2.0560747663551404
2023-03-16,2735,2740,2700,2700,19642,-1.098901098901099
2023-03-17,2700,2755,2690,2715,13266,0.5555555555555556
2023-03-20,2715,2740,2705,2710,18640,-0.1841620626151013
2023-03-21,2710,2835,2710,2760,20295,1.8450184501845017
2023-03-22,2760,2775,2730,2730,11711,-1.0869565217391304
2023-03-23,2725,2725,2645,2645,23364,-3.1135531135531136
2023-03-24,2650,2710,2635,2710,19801,2.4574669187145557
2023-03-27,2735,2735,2705,2735,22012,0.9225092250922509
2023-03-28,2725,2765,2710,2740,13022,0.18281535648994515
2023-03-29,2765,2790,2745,2775,11199,1.2773722627737227
2023-03-30,2775,2800,2755,2770,19578,-0.18018018018018017
2023-03-31,2770,2820,2695,2810,76967,1.444043321299639
