날짜,시가,고가,저가,종가,거래량,등락률
2021-03-02,7320,7370,7220,7220,72841,-0.6877579092159559
2021-03-03,7220,7380,7210,7330,94525,1.5235457063711912
2021-03-04,7310,7380,7270,7310,51092,-0.2728512960436562
2021-03-05,7310,7350,7260,7350,43564,0.5471956224350205
2021-03-08,7350,7430,7350,7360,94057,0.13605442176870747
2021-03-09,7320,7440,7320,7380,95670,0.2717391304347826
2021-03-10,7440,7530,7370,7490,139072,1.4905149051490514
2021-03-11,7530,7600,7520,7580,69294,1.2016021361815754
2021-03-12,7580,7600,7510,7600,63632,0.2638522427440633
2021-03-15,7600,7680,7520,7650,67263,0.6578947368421052
2021-03-16,7650,7680,7570,7650,66097,0.0
2021-03-17,7670,7670,7570,7660,65917,0.130718954248366
2021-03-18,7660,7670,7620,7660,45912,0.0
2021-03-19,7650,7650,7590,7590,83563,-0.9138381201044387
2021-03-22,7610,7650,7590,7620,88687,0.3952569169960474
2021-03-23,7620,7650,7550,7550,71781,-0.9186351706036745
2021-03-24,7520,7560,7490,7520,69691,-0.3973509933774834
2021-03-25,7530,7550,7490,7530,94888,0.13297872340425532
2021-03-26,7530,7610,7520,7530,105109,0.0
2021-03-29,7570,7620,7540,7610,79365,1.0624169986719787
2021-03-30,7620,7770,7590,7760,208205,1.971090670170828
2021-03-31,7770,8020,7730,7890,380299,1.675257731958763
