날짜,시가,고가,저가,종가,거래량,등락률
2021-01-04,129655,129655,122068,124828,117794,4.023333333333333
2021-01-05,124137,125172,121724,122414,49837,-1.933860992725991
2021-01-06,122413,123103,120344,120690,49719,-1.408335647883412
2021-01-07,121034,122068,119655,120690,46832,0.0
2021-01-08,121034,121034,117241,118621,55790,-1.7143093876874638
2021-01-11,118620,118965,113103,114138,79930,-3.7792633682063044
2021-01-12,113448,116206,113448,115172,30415,0.905920902766826
2021-01-13,116896,117931,115172,115517,27064,0.2995519744382315
2021-01-14,113793,115517,113103,114138,25830,-1.1937636884614384
2021-01-15,113793,115172,110344,112759,41434,-1.2081865811561443
2021-01-18,112068,118620,112068,116207,71935,3.0578490408747863
2021-01-19,117931,119310,114482,118621,63720,2.0773275276016077
2021-01-20,120344,120689,115862,118276,100900,-0.2908422623312904
2021-01-21,124137,125172,119655,124138,158239,4.956204132706551
2021-01-22,127241,127586,123103,124828,89198,0.5558330245372086
2021-01-25,126896,129310,125517,126552,90628,1.3811003941423399
2021-01-26,129655,133793,128275,131034,192467,3.541627157216006
2021-01-27,131379,133103,122758,125862,114189,-3.9470671734053755
2021-01-28,121034,128965,119310,127586,75745,1.369754175207767
2021-01-29,134482,135172,126551,127931,135360,0.27040584390136846
