날짜,시가,고가,저가,종가,거래량,등락률
2022-04-01,5130,5280,5070,5110,710984,-0.7766990291262136
2022-04-04,5100,5210,5100,5140,466463,0.5870841487279843
2022-04-05,5160,5160,5000,5040,483379,-1.9455252918287937
2022-04-06,5180,5450,5140,5200,6430600,3.1746031746031744
2022-04-07,5290,5370,4900,4900,1253187,-5.769230769230769
2022-04-08,4910,4940,4655,4675,777884,-4.591836734693878
2022-04-11,4675,4730,4590,4635,287387,-0.8556149732620321
2022-04-12,4645,4840,4520,4775,882651,3.0204962243797198
2022-04-13,5180,5240,4730,4745,2109532,-0.6282722513089005
2022-04-14,4750,5040,4750,4845,1139849,2.107481559536354
2022-04-15,4905,4985,4835,4900,474931,1.1351909184726523
2022-04-18,4880,4980,4805,4950,462059,1.0204081632653061
2022-04-19,4910,5010,4840,4985,533390,0.7070707070707071
2022-04-20,5020,6150,4950,5580,21623314,11.9358074222668
2022-04-21,5660,5960,5300,5370,7073302,-3.763440860215054
2022-04-22,5290,5620,5210,5400,2493922,0.5586592178770949
2022-04-25,5300,5620,5250,5480,2828732,1.4814814814814816
2022-04-26,5530,5860,5430,5810,4363524,6.021897810218978
2022-04-27,5550,5840,5440,5720,2408351,-1.549053356282272
2022-04-28,5720,6000,5420,5520,5027538,-3.4965034965034967
2022-04-29,5560,5580,5350,5400,761173,-2.1739130434782608
