날짜,시가,고가,저가,종가,거래량,등락률
2017-08-01,10800,11050,10800,11050,1890,0.45454545454545453
2017-08-02,11050,11050,10600,10750,14200,-2.7149321266968327
2017-08-03,10750,10900,10550,10850,2284,0.9302325581395349
2017-08-04,10700,10850,10600,10800,1830,-0.4608294930875576
2017-08-07,10600,10850,10600,10800,1315,0.0
2017-08-08,10850,10850,10750,10750,1093,-0.4629629629629629
2017-08-09,10750,10800,10550,10750,6341,0.0
2017-08-10,10700,10750,10500,10500,3779,-2.3255813953488373
2017-08-11,10450,10700,10250,10700,3379,1.9047619047619049
2017-08-14,10500,10800,10450,10500,4301,-1.8691588785046727
2017-08-16,10600,10700,10500,10650,1191,1.4285714285714286
2017-08-17,10650,10900,10600,10700,4325,0.4694835680751174
2017-08-18,10750,11000,10600,10850,2170,1.4018691588785046
2017-08-21,10900,10950,10600,10750,2552,-0.9216589861751152
2017-08-22,10750,10850,10600,10750,1367,0.0
2017-08-23,10650,10800,10600,10700,2426,-0.46511627906976744
2017-08-24,10700,10950,10650,10650,1430,-0.46728971962616817
2017-08-25,10650,10850,10550,10650,2530,0.0
2017-08-28,10650,10900,10550,10650,1714,0.0
2017-08-29,10850,10850,10500,10650,1791,0.0
2017-08-30,10650,10750,10550,10600,2477,-0.4694835680751174
2017-08-31,10650,10700,10500,10600,4005,0.0
