날짜,시가,고가,저가,종가,거래량,등락률
2023-05-02,10100,10310,10040,10210,38185,1.089108910891089
2023-05-03,10200,10280,10200,10220,27090,0.0979431929480901
2023-05-04,10220,10300,10110,10120,26246,-0.9784735812133072
2023-05-08,10120,10370,10120,10360,31235,2.371541501976284
2023-05-09,10280,10410,10240,10330,21740,-0.28957528957528955
2023-05-10,10330,10490,10320,10450,24423,1.1616650532429817
2023-05-11,10490,10840,10450,10630,64112,1.7224880382775118
2023-05-12,10600,10800,10480,10730,70776,0.940733772342427
2023-05-15,10890,11190,10830,11040,129512,2.8890959925442683
2023-05-16,11080,11240,10780,10970,77687,-0.6340579710144928
2023-05-17,10870,10930,10620,10720,59162,-2.2789425706472195
2023-05-18,11000,11010,10650,10750,45589,0.2798507462686567
2023-05-19,10770,11800,10770,11600,306862,7.906976744186046
2023-05-22,11710,11820,11420,11670,110894,0.603448275862069
2023-05-23,11800,11800,11400,11430,72096,-2.056555269922879
2023-05-24,11400,11420,11120,11150,84012,-2.4496937882764653
2023-05-25,11130,11320,11120,11200,48134,0.4484304932735426
2023-05-26,11220,11220,10900,10910,63633,-2.5892857142857144
2023-05-30,10920,10970,10810,10840,52574,-0.6416131989000917
2023-05-31,10800,10890,10520,10680,73111,-1.4760147601476015
