날짜,시가,고가,저가,종가,거래량,등락률
2022-06-02,17850,18000,17250,17550,11011,-2.7700831024930745
2022-06-03,17500,17650,17250,17550,3967,0.0
2022-06-07,17400,17400,16900,16950,4925,-3.418803418803419
2022-06-08,16850,17150,16750,16900,2804,-0.2949852507374631
2022-06-09,16750,17000,16750,16800,2279,-0.591715976331361
2022-06-10,16800,16900,16600,16850,901,0.2976190476190476
2022-06-13,16450,16450,16000,16000,4537,-5.044510385756676
2022-06-14,15500,16000,14700,15100,14763,-5.625
2022-06-15,14850,15200,14650,14700,4738,-2.6490066225165565
2022-06-16,14800,15500,14800,15000,3637,2.0408163265306123
2022-06-17,14850,15000,14750,15000,2314,0.0
2022-06-20,14800,14950,14250,14450,3547,-3.6666666666666665
2022-06-21,14100,14500,14000,14400,3288,-0.34602076124567477
2022-06-22,14450,14550,13600,13800,4767,-4.166666666666666
2022-06-23,13550,13950,12750,13100,5974,-5.072463768115942
2022-06-24,12600,14600,12600,13550,10257,3.435114503816794
2022-06-27,13700,14000,13600,13850,2864,2.214022140221402
2022-06-28,14000,14250,13600,13900,1029,0.36101083032490977
2022-06-29,14100,14150,13650,13800,1231,-0.7194244604316548
2022-06-30,14200,14200,13100,13450,1863,-2.536231884057971
