날짜,시가,고가,저가,종가,거래량,등락률
2020-03-02,13400,13950,13400,13750,11766,1.8518518518518516
2020-03-03,13850,14250,13650,13950,9334,1.4545454545454546
2020-03-04,13550,13950,13500,13600,29117,-2.5089605734767026
2020-03-05,14000,14800,13850,14200,58361,4.411764705882353
2020-03-06,14100,14100,13500,13750,19640,-3.169014084507042
2020-03-09,13700,13900,13050,13100,25603,-4.7272727272727275
2020-03-10,13000,16400,13000,14300,336165,9.16030534351145
2020-03-11,13750,14000,13100,13400,66845,-6.293706293706294
2020-03-12,13400,13600,12500,12800,34400,-4.477611940298507
2020-03-13,12150,13000,10550,12500,35739,-2.34375
2020-03-16,12050,12650,11800,11800,21730,-5.6000000000000005
2020-03-17,11250,12350,11000,11500,7761,-2.5423728813559325
2020-03-18,11800,11800,9800,9800,21614,-14.782608695652174
2020-03-19,9710,10200,7620,8130,29497,-17.04081632653061
2020-03-20,8330,8490,7710,8210,52764,0.984009840098401
2020-03-23,7800,7970,6900,6900,28150,-15.956151035322778
2020-03-24,7000,8900,7000,7790,92735,12.89855072463768
2020-03-25,8690,9000,8150,8450,45704,8.472400513478819
2020-03-26,8690,9190,8330,8930,41161,5.680473372781065
2020-03-27,9270,9480,8760,9060,31168,1.4557670772676372
2020-03-30,9060,9830,8900,9770,21940,7.836644591611479
2020-03-31,10000,10350,9700,10000,24858,2.3541453428863868
