날짜,시가,고가,저가,종가,거래량,등락률
2021-09-01,8910,8950,8800,8940,159502,0.33670033670033667
2021-09-02,9060,9140,9010,9090,441937,1.6778523489932886
2021-09-03,9130,9130,8950,9030,176368,-0.6600660066006601
2021-09-06,9020,9020,8850,8900,147789,-1.4396456256921373
2021-09-07,8830,8970,8790,8890,131644,-0.11235955056179776
2021-09-08,8890,8890,8650,8680,163205,-2.3622047244094486
2021-09-09,8640,9130,8570,8620,178008,-0.6912442396313364
2021-09-10,8620,8740,8510,8600,82662,-0.23201856148491878
2021-09-13,8510,8600,8410,8430,125423,-1.9767441860465116
2021-09-14,8450,8520,8430,8430,69672,0.0
2021-09-15,8390,8490,8390,8410,66386,-0.2372479240806643
2021-09-16,8460,8470,8290,8290,104680,-1.426872770511296
2021-09-17,8260,8370,8190,8330,88241,0.48250904704463204
2021-09-23,8290,8340,8150,8280,104196,-0.6002400960384154
2021-09-24,8260,8400,8160,8170,86905,-1.328502415458937
2021-09-27,8120,8300,8070,8270,110083,1.2239902080783354
2021-09-28,8220,8270,8040,8060,126125,-2.539298669891173
2021-09-29,7820,8020,7810,7960,106102,-1.240694789081886
2021-09-30,7930,8150,7930,8090,79161,1.6331658291457287
