날짜,시가,고가,저가,종가,거래량,등락률
2020-02-03,6504,6655,6504,6569,8004,-1.143717080511663
2020-02-04,6644,6644,6547,6548,9618,-0.3196833612421982
2020-02-05,6569,6644,6493,6569,20287,0.32070861331704337
2020-02-06,6580,6698,6558,6666,15095,1.4766326685949154
2020-02-07,6676,6773,6612,6645,6095,-0.31503150315031503
2020-02-10,6709,6709,6547,6558,8698,-1.3092550790067718
2020-02-11,6633,6633,6504,6558,29362,0.0
2020-02-12,6558,6838,6558,6742,33566,2.8057334553217443
2020-02-13,6655,6924,6655,6838,94598,1.4239098190447939
2020-02-14,6838,6860,6720,6795,23195,-0.6288388417665984
2020-02-17,6838,7010,6806,6860,40315,0.9565857247976454
2020-02-18,6903,6903,6763,6795,22895,-0.9475218658892128
2020-02-19,6827,6827,6730,6731,18970,-0.94186902133922
2020-02-20,6806,6806,6687,6731,7319,0.0
2020-02-21,6752,6795,6720,6720,28289,-0.16342296835537068
2020-02-24,6623,6666,6515,6548,30625,-2.5595238095238093
2020-02-25,6644,6655,6461,6569,15283,0.32070861331704337
2020-02-26,6569,6698,6483,6634,48986,0.9894961181306134
2020-02-27,6601,6623,6504,6505,9864,-1.9445281881217968
2020-02-28,6407,6504,6321,6375,23649,-1.9984627209838586
