날짜,시가,고가,저가,종가,거래량,등락률
2018-09-03,5450,5620,5370,5620,336051,2.742230347349177
2018-09-04,5680,5680,5550,5630,399385,0.1779359430604982
2018-09-05,5650,5650,5500,5580,392367,-0.8880994671403196
2018-09-06,5610,5620,5390,5410,443453,-3.046594982078853
2018-09-07,5350,5450,5330,5400,282811,-0.18484288354898337
2018-09-10,5600,5610,5370,5380,566839,-0.3703703703703704
2018-09-11,5370,5460,5350,5450,206637,1.3011152416356877
2018-09-12,5450,5530,5400,5440,347449,-0.1834862385321101
2018-09-13,5450,5610,5410,5440,360058,0.0
2018-09-14,5490,5580,5400,5520,476467,1.4705882352941175
2018-09-17,5550,5580,5440,5450,221028,-1.2681159420289856
2018-09-18,5440,5540,5400,5500,306278,0.9174311926605505
2018-09-19,5550,5570,5350,5420,476553,-1.4545454545454546
2018-09-20,5400,5780,5380,5680,2021394,4.797047970479705
2018-09-21,5780,5780,5590,5650,687828,-0.528169014084507
2018-09-27,5660,6030,5620,5930,2998818,4.95575221238938
2018-09-28,6000,6130,5850,5860,1865590,-1.1804384485666104
