날짜,시가,고가,저가,종가,거래량,등락률
2021-12-01,99800,102500,99700,102000,4673,2.3069207622868606
2021-12-02,101000,106000,100500,105500,4255,3.431372549019608
2021-12-03,107500,107500,104000,106000,2261,0.47393364928909953
2021-12-06,105500,106500,103500,106500,1531,0.4716981132075472
2021-12-07,106500,107000,105500,106000,4298,-0.4694835680751174
2021-12-08,107000,108000,106000,108000,4307,1.8867924528301887
2021-12-09,108000,108000,107000,108000,2174,0.0
2021-12-10,107500,108500,107000,108500,4117,0.4629629629629629
2021-12-13,109000,109500,107000,108000,4107,-0.4608294930875576
2021-12-14,108000,108000,106500,107500,4531,-0.4629629629629629
2021-12-15,108000,108000,106000,106500,1650,-0.9302325581395349
2021-12-16,107000,107500,106000,106500,3172,0.0
2021-12-17,106500,108000,106000,108000,704,1.4084507042253522
2021-12-20,108000,108000,106000,106500,3857,-1.3888888888888888
2021-12-21,107000,110000,105000,110000,7470,3.286384976525822
2021-12-22,110000,110000,108000,109000,1079,-0.9090909090909091
2021-12-23,109500,109500,108000,108500,1020,-0.45871559633027525
2021-12-24,108500,110500,108500,109500,1559,0.9216589861751152
2021-12-27,109500,110500,108000,110500,4541,0.91324200913242
2021-12-28,110500,111000,108500,109500,2565,-0.904977375565611
2021-12-29,108000,108500,107000,107000,1958,-2.28310502283105
2021-12-30,107000,111500,107000,109000,6457,1.8691588785046727
