날짜,시가,고가,저가,종가,거래량,등락률
2019-05-02,9970,10000,9960,10000,1441,-0.4975124378109453
2019-05-03,10050,10150,9960,10150,1928,1.5
2019-05-07,10000,10150,9970,10000,519,-1.477832512315271
2019-05-08,10000,10050,9950,10000,898,0.0
2019-05-09,10000,10050,9960,10050,1120,0.5
2019-05-10,9960,10050,9950,10000,1594,-0.4975124378109453
2019-05-13,10000,10000,9860,10000,936,0.0
2019-05-14,10000,10000,9860,10000,1888,0.0
2019-05-15,9910,10000,9910,10000,355,0.0
2019-05-16,9900,10000,9900,10000,773,0.0
2019-05-17,9930,10000,9910,10000,1554,0.0
2019-05-20,9980,10100,9920,10100,1082,1.0
2019-05-21,10100,10100,9950,10000,278,-0.9900990099009901
2019-05-22,10000,10100,9970,10050,1851,0.5
2019-05-23,10050,10050,9900,10000,910,-0.4975124378109453
2019-05-24,9910,10000,9910,10000,568,0.0
2019-05-27,10000,10000,9920,10000,414,0.0
2019-05-28,10000,10050,9930,10050,1463,0.5
2019-05-29,10050,10050,9920,10000,1074,-0.4975124378109453
2019-05-30,10000,10000,9940,10000,20172,0.0
2019-05-31,10000,10000,9930,10000,954,0.0
