날짜,시가,고가,저가,종가,거래량,등락률
2020-01-02,8190,8290,8080,8230,130631,0.3658536585365854
2020-01-03,8250,8590,8230,8380,323083,1.8226002430133657
2020-01-06,8360,8560,8250,8270,456379,-1.3126491646778042
2020-01-07,8390,8460,8240,8320,206338,0.6045949214026602
2020-01-08,8320,8320,7900,7900,300784,-5.048076923076923
2020-01-09,8070,8310,8070,8190,198672,3.670886075949367
2020-01-10,8200,8430,8170,8390,148833,2.442002442002442
2020-01-13,8340,8590,8340,8570,209949,2.1454112038140645
2020-01-14,8550,8740,8410,8410,211720,-1.8669778296382729
2020-01-15,8410,8530,8340,8450,86220,0.47562425683709864
2020-01-16,8450,8600,8420,8490,132833,0.4733727810650888
2020-01-17,8490,8640,8490,8550,101014,0.7067137809187279
2020-01-20,8560,8650,8480,8580,129861,0.3508771929824561
2020-01-21,8580,8620,8460,8470,112057,-1.282051282051282
2020-01-22,8470,8670,8400,8580,105808,1.2987012987012987
2020-01-23,8640,8640,8480,8520,62740,-0.6993006993006993
2020-01-28,8400,8400,8080,8220,187977,-3.5211267605633805
2020-01-29,8220,8290,8190,8250,75732,0.36496350364963503
2020-01-30,8240,8280,8000,8150,115157,-1.2121212121212122
2020-01-31,8110,8160,7850,7850,130335,-3.6809815950920246
