날짜,시가,고가,저가,종가,거래량,등락률
2023-07-03,9900,9910,9860,9890,32233,0.0
2023-07-04,9880,9900,9840,9880,32177,-0.10111223458038424
2023-07-05,9870,9910,9840,9880,27306,0.0
2023-07-06,9890,9890,9400,9730,136185,-1.5182186234817814
2023-07-07,9720,9730,9430,9530,112752,-2.055498458376156
2023-07-10,9640,9670,9500,9600,45333,0.7345225603357817
2023-07-11,9600,9770,9570,9720,26254,1.25
2023-07-12,9730,9800,9700,9800,22505,0.823045267489712
2023-07-13,9800,9880,9700,9700,46299,-1.0204081632653061
2023-07-14,9700,9720,9590,9700,47270,0.0
2023-07-17,9690,9720,9510,9550,58641,-1.5463917525773196
2023-07-18,9520,9560,9470,9540,42037,-0.10471204188481677
2023-07-19,9550,9550,9450,9520,20977,-0.20964360587002098
2023-07-20,9420,9560,9420,9520,21218,0.0
2023-07-21,9510,9520,9440,9450,20166,-0.7352941176470588
2023-07-24,9450,9450,9250,9330,88250,-1.2698412698412698
2023-07-25,9290,9320,9110,9120,79410,-2.2508038585209005
2023-07-26,9070,9150,8800,8950,124778,-1.8640350877192982
2023-07-27,8940,9280,8940,9280,53404,3.687150837988827
2023-07-28,9140,9230,9090,9150,53424,-1.4008620689655173
2023-07-31,9090,9200,8950,9000,78248,-1.639344262295082
