날짜,시가,고가,저가,종가,거래량,등락률
2019-04-01,4350,4400,4325,4400,24737,1.8518518518518516
2019-04-02,4405,4405,4360,4380,17981,-0.45454545454545453
2019-04-03,4390,4395,4355,4390,18549,0.228310502283105
2019-04-04,4395,4400,4360,4370,18645,-0.45558086560364464
2019-04-05,4400,4425,4360,4400,38022,0.6864988558352403
2019-04-08,4425,4525,4410,4470,51646,1.5909090909090908
2019-04-09,4480,4515,4465,4475,27893,0.11185682326621924
2019-04-10,4500,4500,4450,4485,14594,0.22346368715083798
2019-04-11,4495,4595,4480,4570,35480,1.89520624303233
2019-04-12,4590,4595,4500,4565,17331,-0.10940919037199125
2019-04-15,4580,4600,4545,4585,27691,0.43811610076670315
2019-04-16,4610,4610,4555,4580,14171,-0.10905125408942204
2019-04-17,4610,4830,4525,4830,150981,5.458515283842795
2019-04-18,5200,5710,5110,5250,1791208,8.695652173913043
2019-04-19,5230,5270,5030,5220,267265,-0.5714285714285714
2019-04-22,5220,5390,5180,5240,205991,0.38314176245210724
2019-04-23,5250,5490,5250,5490,330547,4.770992366412214
2019-04-24,5520,5570,5310,5490,341362,0.0
2019-04-25,5520,5700,5450,5580,248628,1.639344262295082
2019-04-26,5580,5680,5500,5580,194213,0.0
2019-04-29,5620,5640,5520,5600,196385,0.35842293906810035
2019-04-30,5610,5640,5330,5570,296984,-0.5357142857142857
